iban,My IBAN number is AD1200012030200359100100\,  :),FALSE,1,TRUE
iban,My IBAN number is AD1200012030200359100101\, no its not :),FALSE,1,FALSE
iban,This document contains AD1200012030200359100100 AD1200012030200359100100 BE68539007547034,FALSE,2,TRUE
iban,This document contains AD1200012030200359100100 AD1200012030200359100100,false,2,false
iban,AD1200012030200359100100, false, 1, true
iban,AD1200012030200359100100 test, false, 1, true
iban,test AD1200012030200359100100, false, 1, true
iban,testAD1200012030200359100100, false, 1, false
iban,AD1200012030200359100100test, false, 1, false
iban,This document contains ‘AD1200012030200359100100’ , false, 1, true
iban,This document contains “AD1200012030200359100100” , false, 1, true
iban,This document contains ’AD1200012030200359100100“ , false, 1, true
iban,This document contains ”AD1200012030200359100100‘ , false, 1, true
